CVE_ID,Description,Impact
CVE-1999-0271,Progressive Networks Real Video server (pnserver) can be crashed remotely.,MEDIUM
CVE-1999-1045,"pnserver in RealServer 5.0 and earlier allows remote attackers to cause a denial of service by sending a short, malformed request.",HIGH
CVE-1999-0014,Unauthorized privileged access or denial of service via dtappgather program in CDE.,HIGH
CVE-1999-1487,Vulnerability in digest in AIX 4.3 allows printq users to gain root privileges by creating and/or modifing any file on the system.,HIGH
CVE-1999-0013,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.",HIGH
CVE-1999-0125,Buffer overflow in SGI IRIX mailx program.,MEDIUM
CVE-1999-0264,htmlscript CGI program allows remote read access to files.,MEDIUM
CVE-1999-0087,Denial of service in AIX telnet can freeze a system and prevent users from accessing the server.,MEDIUM
CVE-1999-0256,Buffer overflow in War FTP allows remote execution of commands.,HIGH
CVE-1999-0296,Solaris volrmmount program allows attackers to read any file.,HIGH
CVE-1999-0304,mmap function in BSD allows local attackers in the kmem group to modify memory through devices.,HIGH
CVE-1999-0305,"The system configuration control (sysctl) facility in BSD based operating systems OpenBSD 2.2 and earlier, and FreeBSD 2.2.5 and earlier, does not properly restrict source routed packets even when the (1) dosourceroute or (2) forwarding variables are set, which allows remote attackers to spoof TCP connections.",MEDIUM
CVE-1999-0486,"Denial of service in AOL Instant Messenger when a remote attacker sends a malicious hyperlink to the receiving client, potentially causing a system crash.",MEDIUM
CVE-1999-1445,"Vulnerability in imapd and ipop3d in Slackware 3.4 and 3.3 with shadowing enabled, and possibly other operating systems, allows remote attackers to cause a core dump via a short sequence of USER and PASS commands that do not provide valid usernames or passwords.",MEDIUM
CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.,MEDIUM
CVE-1999-1269,Screen savers in KDE beta 3 allows local users to overwrite arbitrary files via a symlink attack on the .kss.pid file.,LOW
CVE-1999-0258,Bonk variation of teardrop IP fragmentation denial of service.,MEDIUM
CVE-1999-0225,Windows NT 4.0 allows remote attackers to cause a denial of service via a malformed SMB logon request in which the actual data size does not match the specified size.,MEDIUM
CVE-1999-1207,"Buffer overflow in web-admin tool in NetXRay 2.6 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long HTTP request.",HIGH
CVE-1999-0323,FreeBSD mmap function allows users to modify append-only or immutable files.,HIGH
CVE-1999-1273,Squid Internet Object Cache 1.1.20 allows users to bypass access control lists (ACLs) by encoding the URL with hexadecimal escape sequences.,HIGH
CVE-1999-0290,The WinGate telnet proxy allows remote attackers to cause a denial of service via a large number of connections to localhost.,MEDIUM
CVE-1999-1229,"Quake 2 server 3.13 on Linux does not properly check file permissions for the config.cfg configuration file, which allows local users to read arbitrary files via a symlink from config.cfg to the target file.",LOW
CVE-1999-1486,"sadc in IBM AIX 4.1 through 4.3, when called from programs such as timex that are setgid adm, allows local users to overwrite arbitrary files via a symlink attack.",LOW
CVE-1999-0266,The info2www CGI script allows remote file access or remote command execution.,HIGH
CVE-1999-0320,SunOS rpc.cmsd allows attackers to obtain root access by overwriting arbitrary files.,HIGH
CVE-1999-0330,Linux bdash game has a buffer overflow that allows local users to gain root access.,HIGH
CVE-1999-0502,"A Unix account has a default, null, blank, or missing password.",HIGH
CVE-1999-0514,"UDP messages to broadcast addresses are allowed, allowing for a Fraggle attack that can cause a denial of service by flooding the target.",MEDIUM
CVE-1999-0795,"The NIS+ rpc.nisd server allows remote attackers to execute certain RPC calls without authentication to obtain system information, disable logging, or modify caches.",HIGH
CVE-1999-1272,Buffer overflows in CDROM Confidence Test program (cdrom) allow local users to gain root privileges.,HIGH
CVE-1999-1407,ifdhcpc-done script for configuring DHCP on Red Hat Linux 5 allows local users to append text to arbitrary files via a symlink attack on the dhcplog file.,LOW
CVE-1999-1118,ndd in Solaris 2.6 allows local users to cause a denial of service by modifying certain TCP/IP parameters.,LOW
CVE-1999-0060,"Attackers can cause a denial of service in Ascend MAX and Pipeline routers with a malformed packet to the discard port, which is used by the Java Configurator tool.",MEDIUM
CVE-1999-1075,"inetd in AIX 4.1.5 dynamically assigns a port N when starting ttdbserver (ToolTalk server), but also inadvertently listens on port N-1 without passing control to ttdbserver, which allows remote attackers to cause a denial of service via a large number of connections to port N-1, which are not properly closed by inetd.",MEDIUM
CVE-1999-0960,IRIX cdplayer allows local users to create directories in arbitrary locations via a command line option.,HIGH
CVE-1999-0003,Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).,HIGH
CVE-1999-0098,Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.,HIGH
CVE-1999-0257,Nestea variation of teardrop IP fragmentation denial of service.,MEDIUM
CVE-1999-0507,"An account on a router, firewall, or other network device has a guessable password.",HIGH
CVE-1999-0537,"A configuration in a web browser such as Internet Explorer or Netscape Navigator allows execution of active content such as ActiveX, Java, Javascript, etc.",HIGH
CVE-1999-0551,HP OpenMail can be misconfigured to allow users to run arbitrary commands using malicious print requests.,MEDIUM
CVE-1999-1183,"System Manager sysmgr GUI in SGI IRIX 6.4 and 6.3 allows remote attackers to execute commands by providing a trojan horse (1) runtask or (2) runexec descriptor file, which is used to execute a System Manager Task when the user's Mailcap entry supports the x-sgi-task or x-sgi-exec type.",HIGH
CVE-1999-0270,"Directory traversal vulnerability in pfdispaly.cgi program (sometimes referred to as ""pfdisplay"") for SGI's Performer API Search Tool (performer_tools) allows remote attackers to read arbitrary files.",MEDIUM
CVE-1999-1498,Slackware Linux 3.4 pkgtool allows local attacker to read and write to arbitrary files via a symlink attack on the reply file.,LOW
CVE-1999-1505,Buffer overflow in QuakeWorld 2.10 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary commands via a long initial connect packet.,HIGH
CVE-1999-0009,Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.,HIGH
CVE-1999-0010,Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.,MEDIUM
CVE-1999-0011,Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.,HIGH
CVE-1999-0190,Solaris rpcbind can be exploited to overwrite arbitrary files and gain root access.,HIGH
CVE-1999-1015,Buffer overflow in Apple AppleShare Mail Server 5.0.3 on MacOS 8.1 and earlier allows a remote attacker to cause a denial of service (crash) via a long HELO command.,MEDIUM
CVE-1999-1040,Vulnerabilities in (1) ipxchk and (2) ipxlink in NetWare Client 1.0 on IRIX 6.3 and 6.4 allows local users to gain root access via a modified IFS environmental variable.,HIGH
CVE-1999-1114,"Buffer overflow in Korn Shell (ksh) suid_exec program on IRIX 6.x and earlier, and possibly other operating systems, allows local users to gain root privileges.",HIGH
CVE-1999-1501,"(1) ipxchk and (2) ipxlink in SGI OS2 IRIX 6.3 does not properly clear the IFS environmental variable before executing system calls, which allows local users to execute arbitrary commands.",MEDIUM
CVE-1999-1502,"Buffer overflows in Quake 1.9 client allows remote malicious servers to execute arbitrary commands via long (1) precache paths, (2) server name, (3) server address, or (4) argument to the map console command.",HIGH
CVE-1999-1503,Network Flight Recorder (NFR) 1.5 and 1.6 allows remote attackers to cause a denial of service in nfrd (crash) via a TCP packet with a null header and data field.,MEDIUM
CVE-1999-1504,Stalker Internet Mail Server 1.6 allows a remote attacker to cause a denial of service (crash) via a long HELO command.,MEDIUM
CVE-1999-1499,"named in ISC BIND 4.9 and 8.1 allows local users to destroy files via a symlink attack on (1) named_dump.db when root kills the process with a SIGINT, or (2) named.stats when SIGIOT is used.",LOW
CVE-1999-1113,Buffer overflow in Eudora Internet Mail Server (EIMS) 2.01 and earlier on MacOS systems allows remote attackers to cause a denial of service via a long USER command to port 106.,MEDIUM
CVE-1999-1390,suidexec in suidmanager 0.18 on Debian 2.0 allows local users to gain root privileges by specifying a malicious program on the command line.,HIGH
CVE-1999-0069,Solaris ufsrestore buffer overflow.,HIGH
CVE-1999-0212,Solaris rpc.mountd generates error messages that allow a remote attacker to determine what files are on the server.,HIGH
CVE-1999-1106,Buffer overflow in kppp in KDE allows local users to gain root access via a long -c (account_name) command line argument.,HIGH
CVE-1999-0108,The printers program in IRIX has a buffer overflow that gives root access to local users.,HIGH
CVE-1999-0796,FreeBSD T/TCP Extensions for Transactions can be subjected to spoofing attacks.,HIGH
CVE-1999-0126,SGI IRIX buffer overflow in xterm and Xaw allows root access.,HIGH
CVE-1999-1027,"Solaris 2.6 HW3/98 installs admintool with world-writable permissions, which allows local users to gain privileges by replacing it with a Trojan horse program.",HIGH
CVE-1999-1044,Vulnerability in Advanced File System Utility (advfs) in Digital UNIX 4.0 through 4.0d allows local users to gain privileges.,MEDIUM
CVE-1999-1361,"Windows NT 3.51 and 4.0 running WINS (Windows Internet Name Service) allows remote attackers to cause a denial of service (resource exhaustion) via a flood of malformed packets, which causes the server to slow down and fill the event logs with error messages.",MEDIUM
CVE-1999-0816,The Motorola CableRouter allows any remote user to connect to and configure the router on port 1024.,HIGH
CVE-1999-0919,A memory leak in a Motorola CableRouter allows remote attackers to conduct a denial of service via a large number of telnet connections.,HIGH
CVE-1999-1204,"Check Point Firewall-1 does not properly handle certain restricted keywords (e.g., Mail, auth, time) in user-defined objects, which could produce a rule with a default ""ANY"" address and result in access to more systems than intended by the administrator.",HIGH
CVE-1999-1389,"US Robotics/3Com Total Control Chassis with Frame Relay between 3.6.22 and 3.7.24 does not properly enforce access filters when the ""set host prompt"" setting is made for a port, which allows attackers to bypass restrictions by providing the hostname twice at the ""host: "" prompt.",HIGH
CVE-1999-0055,Buffer overflows in Sun libnsl allow root access.,HIGH
CVE-1999-1179,"Vulnerability in man.sh CGI script, included in May 1998 issue of SysAdmin Magazine, allows remote attackers to execute arbitrary commands.",HIGH
CVE-1999-1096,Buffer overflow in kscreensaver in KDE klock allows local users to gain root privileges via a long HOME environmental variable.,HIGH
CVE-1999-0303,Buffer overflow in BNU UUCP daemon (uucpd) through long hostnames.,MEDIUM
CVE-1999-1039,Vulnerability in (1) diskalign and (2) diskperf in IRIX 6.4 patches 2291 and 2848 allow a local user to create root-owned files leading to a root compromise.,HIGH
CVE-1999-1492,"Vulnerability in (1) diskperf and (2) diskalign in IRIX 6.4 allows local attacker to create arbitrary root owned files, leading to root privileges.",HIGH
CVE-1999-1490,xosview 1.5.1 in Red Hat 5.1 allows local users to gain root access via a long HOME environmental variable.,HIGH
CVE-1999-0278,"In IIS, remote attackers can obtain source code for ASP files by appending ""::$DATA"" to the URL.",MEDIUM
CVE-1999-0329,SGI mediad program allows local users to gain root access.,HIGH
CVE-1999-0501,A Unix account has a guessable password.,MEDIUM
CVE-1999-0508,"An account on a router, firewall, or other network device has a default, null, blank, or missing password.",MEDIUM
CVE-1999-1443,"Micah Software Full Armor Network Configurator and Zero Administration allow local users with physical access to bypass the desktop protection by (1) using <CTRL><ALT><DEL> and kill the process using the task manager, (2) booting the system from a separate disk, or (3) interrupting certain processes that execute while the system is booting.",MEDIUM
CVE-1999-1151,"Compaq/Microcom 6000 Access Integrator does not cause a session timeout after prompting for a username or password, which allows remote attackers to cause a denial of service by connecting to the integrator without providing a username or password.",MEDIUM
CVE-1999-1152,"Compaq/Microcom 6000 Access Integrator does not disconnect a client after a certain number of failed login attempts, which allows remote attackers to guess usernames or passwords via a brute force attack.",MEDIUM
CVE-1999-0008,"Buffer overflow in NIS+, in Sun's rpc.nisd program.",HIGH
CVE-1999-0054,Sun's ftpd daemon can be subjected to a denial of service.,MEDIUM
CVE-1999-1178,Sambar Server 4.1 beta allows remote attackers to obtain sensitive information about the server via an HTTP request for the dumpenv.pl script.,MEDIUM
CVE-1999-1271,"Macromedia Dreamweaver uses weak encryption to store FTP passwords, which could allow local users to easily decrypt the passwords of other users.",LOW
CVE-1999-1480,(1) acledit and (2) aclput in AIX 4.3 allow local users to create or modify files via a symlink attack.,LOW
CVE-1999-1555,"Cheyenne InocuLAN Anti-Virus Server in Inoculan 4.0 before Service Pack 2 creates an update directory with ""EVERYONE FULL CONTROL"" permissions, which allows local users to cause Inoculan's antivirus update feature to install a Trojan horse dll.",HIGH
CVE-1999-1085,"SSH 1.2.25, 1.2.23, and other versions, when used in in CBC (Cipher Block Chaining) or CFB (Cipher Feedback 64 bits) modes, allows remote attackers to insert arbitrary data into an existing stream between an SSH client and server by using a known plaintext attack and computing a valid CRC-32 checksum for the packet, aka the ""SSH insertion attack.""",MEDIUM
CVE-1999-0783,FreeBSD allows local users to conduct a denial of service by creating a hard link from a device special file to a file on an NFS file system.,MEDIUM
CVE-1999-1442,"Bug in AMD K6 processor on Linux 2.0.x and 2.1.x kernels allows local users to cause a denial of service (crash) via a particular sequence of instructions, possibly related to accessing addresses outside of segments.",HIGH
CVE-1999-1479,The textcounter.pl by Matt Wright allows remote attackers to execute arbitrary commands via shell metacharacters.,HIGH
CVE-1999-0007,Information from SSL-encrypted sessions via PKCS #1.,MEDIUM
CVE-1999-1036,"COPS 1.04 allows local users to overwrite or create arbitrary files via a symlink attack on temporary files in (1) res_diff, (2) ca.src, and (3) mail.chk.",HIGH
CVE-1999-1037,rex.satan in SATAN 1.1.1 allows local users to overwrite arbitrary files via a symlink attack on the /tmp/rex.$$ file.,HIGH
CVE-1999-1038,"Tiger 2.2.3 allows local users to overwrite arbitrary files via a symlink attack on various temporary files in Tiger's default working directory, as defined by the WORKDIR variable.",HIGH
CVE-1999-0797,"NIS finger allows an attacker to conduct a denial of service via a large number of finger requests, resulting in a large number of NIS queries.",LOW
CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value.",HIGH
CVE-1999-1150,"Livingston Portmaster routers running ComOS use the same initial sequence number (ISN) for TCP connections, which allows remote attackers to conduct spoofing and hijack TCP sessions.",HIGH
CVE-1999-1441,"Linux 2.0.34 does not properly prevent users from sending SIGIO signals to arbitrary processes, which allows local users to cause a denial of service by sending SIGIO to processes that do not catch it.",LOW
CVE-1999-0313,disk_bandwidth on SGI IRIX 6.4 S2MP for Origin/Onyx2 allows local users to gain root access using relative pathnames.,HIGH
CVE-1999-0314,ioconfig on SGI IRIX 6.4 S2MP for Origin/Onyx2 allows local users to gain root access using relative pathnames.,HIGH
CVE-1999-0494,Denial of service in WinGate proxy through a buffer overflow in POP3.,MEDIUM
CVE-1999-1202,StarTech (1) POP3 proxy server and (2) telnet server allows remote attackers to cause a denial of service via a long USER command.,MEDIUM
CVE-1999-1409,"The at program in IRIX 6.2 and NetBSD 1.3.2 and earlier allows local users to read portions of arbitrary files by submitting the file to at with the -f argument, which generates error messages that at sends to the user via e-mail.",LOW
CVE-1999-1574,"Buffer overflow in the lex routines of nslookup for AIX 4.3 may allow attackers to cause a core dump and possibly execute arbitrary code via ""long input strings.""",HIGH
CVE-1999-1437,ePerl 2.2.12 allows remote attackers to read arbitrary files and possibly execute certain commands by specifying a full pathname of the target file as an argument to bar.phtml.,HIGH
CVE-1999-1436,"Ray Chan WWW Authorization Gateway 0.1 CGI program allows remote attackers to execute arbitrary commands via shell metacharacters in the ""user"" parameter.",HIGH
CVE-1999-0102,Buffer overflow in SLmail 3.x allows attackers to execute commands using a large FROM line.,HIGH
CVE-1999-1435,Buffer overflow in libsocks5 library of Socks 5 (socks5) 1.0r5 allows local users to gain privileges via long environmental variables.,HIGH
CVE-1999-1270,"KMail in KDE 1.0 provides a PGP passphrase as a command line argument to other programs, which could allow local users to obtain the passphrase and compromise the PGP keys of other users by viewing the arguments via programs that list process information, such as ps.",MEDIUM
CVE-1999-1434,"login in Slackware Linux 3.2 through 3.5 does not properly check for an error when the /etc/group file is missing, which prevents it from dropping privileges, causing it to assign root privileges to any local user who logs on to the server.",HIGH
CVE-1999-0006,Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.,HIGH
CVE-1999-0213,libnsl in Solaris allowed an attacker to perform a denial of service of rpcbind.,HIGH
CVE-1999-1297,cmdtool in OpenWindows 3.0 and XView 3.0 in SunOS 4.1.4 and earlier allows attackers with physical access to the system to display unechoed characters (such as those from password prompts) via the L2/AGAIN key.,LOW
CVE-1999-1433,HP JetAdmin D.01.09 on Solaris allows local users to change the permissions of arbitrary files via a symlink attack on the /tmp/jetadmin.log file.,HIGH
CVE-1999-1582,"By design, the ""established"" command on the Cisco PIX firewall allows connections from one host to arbitrary ports of a target host if an alternative conduit has already been allowed, which can cause administrators to configure less restrictive access controls than intended if they do not understand this functionality.",HIGH
CVE-1999-0263,Solaris SUNWadmap can be exploited to obtain root access.,MEDIUM
CVE-1999-1149,Buffer overflow in CSM Proxy 4.1 allows remote attackers to cause a denial of service (crash) via a long string to the FTP port.,MEDIUM
CVE-1999-1432,"Power management (Powermanagement) on Solaris 2.4 through 2.6 does not start the xlock process until after the sys-suspend has completed, which allows an attacker with physical access to input characters to the last active application from the keyboard for a short period after the system is restoring, which could lead to increased privileges.",HIGH
CVE-1999-1558,Vulnerability in loginout in Digital OpenVMS 7.1 and earlier allows unauthorized access when external authentication is enabled.,HIGH
CVE-1999-0005,Arbitrary command execution via IMAP buffer overflow in authenticate command.,HIGH
CVE-1999-1200,"Vintra SMTP MailServer allows remote attackers to cause a denial of service via a malformed ""EXPN *@"" command.",MEDIUM
CVE-1999-1420,"NBase switches NH2012, NH2012R, NH2015, and NH2048 have a back door password that cannot be disabled, which allows remote attackers to modify the switch's configuration.",HIGH
CVE-1999-1421,"NBase switches NH208 and NH215 run a TFTP server which allows remote attackers to send software updates to modify the switch or cause a denial of service (crash) by guessing the target filenames, which have default names.",MEDIUM
CVE-1999-1070,Buffer overflow in ping CGI program in Xylogics Annex terminal service allows remote attackers to cause a denial of service via a long query parameter.,MEDIUM
CVE-1999-0941,Mutt mail client allows a remote attacker to execute commands via shell metacharacters.,HIGH
CVE-1999-1447,Internet Explorer 4.0 allows remote attackers to cause a denial of service (crash) via HTML code that contains a long CLASSID parameter in an OBJECT tag.,MEDIUM
CVE-1999-1406,"dumpreg in Red Hat Linux 5.1 opens /dev/mem with O_RDWR access, which allows local users to cause a denial of service (crash) by redirecting fd 1 (stdout) to the kernel.",LOW
CVE-1999-1448,"Eudora and Eudora Light before 3.05 allows remote attackers to cause a crash and corrupt the user's mailbox via an e-mail message with certain dates, such as (1) dates before 1970, which cause a Divide By Zero error, or (2) dates that are 100 years after the current date, which causes a segmentation fault.",MEDIUM
CVE-1999-1136,"Vulnerability in Predictive on HP-UX 11.0 and earlier, and MPE/iX 5.5 and earlier, allows attackers to compromise data transfer for Predictive messages (using e-mail or modem) between customer and Response Center Predictive systems.",MEDIUM
CVE-1999-0269,Netscape Enterprise servers may list files through the PageServices query.,MEDIUM
CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets.",MEDIUM
CVE-1999-0333,"HP OpenView Omniback allows remote execution of commands as root via spoofing, and local users can gain root access via a symlink attack.",HIGH
CVE-1999-0339,"Buffer overflow in the libauth library in Solaris allows local users to gain additional privileges, possibly root access.",HIGH
CVE-1999-0344,NT users can gain debug-level access on a system process using the Sechole exploit.,HIGH
CVE-1999-0516,An SNMP community name is guessable.,HIGH
CVE-1999-0062,The chpass command in OpenBSD allows a local user to gain root access through file descriptor leakage.,HIGH
CVE-1999-0262,Hylafax faxsurvey CGI script on Linux allows remote attackers to execute arbitrary commands via shell metacharacters in the query string.,HIGH
CVE-1999-1199,"Apache WWW server 1.3.1 and earlier allows remote attackers to cause a denial of service (resource exhaustion) via a large number of MIME headers with the same name, aka the ""sioux"" vulnerability.",HIGH
CVE-1999-0159,"Attackers can crash a Cisco IOS router or device, provided they can get to an interactive prompt (such as a login).  This applies to some IOS 9.x, 10.x, and 11.x releases.",MEDIUM
CVE-1999-1283,Opera 3.2.1 allows remote attackers to cause a denial of service (application crash) via a URL that contains an extra / in the http:// tag.,MEDIUM
CVE-1999-0157,Cisco PIX firewall and CBAC IP fragmentation attack results in a denial of service.,MEDIUM
CVE-1999-1416,AnswerBook2 (AB2) web server dwhttpd 3.1a4 allows remote attackers to cause a denial of service (resource exhaustion) via an HTTP POST request with a large content-length.,MEDIUM
CVE-1999-1417,"Format string vulnerability in AnswerBook2 (AB2) web server dwhttpd 3.1a4 allows remote attackers to cause a denial of service and possibly execute arbitrary commands via encoded % characters in an HTTP request, which is improperly logged.",HIGH
CVE-1999-1041,Buffer overflow in mscreen on SCO OpenServer 5.0 and SCO UNIX 3.2v4 allows a local user to gain root access via (1) a long TERM environmental variable and (2) a long entry in the .mscreenrc file.,HIGH
CVE-1999-0065,Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.,HIGH
CVE-1999-0158,Cisco PIX firewall manager (PFM) on Windows NT allows attackers to connect to port 8080 on the PFM server and retrieve any file whose name and location is known.,MEDIUM
CVE-1999-0162,"The ""established"" keyword in some Cisco IOS software allowed an attacker to bypass filtering.",MEDIUM
CVE-1999-0302,SunOS/Solaris FTP clients can be forced to execute arbitrary commands from a malicious FTP server.,HIGH
CVE-1999-0310,SSH 1.2.25 on HP-UX allows access to new user accounts.,HIGH
CVE-1999-0792,ROUTERmate has a default SNMP community name which allows remote attackers to modify its configuration.,MEDIUM
CVE-1999-1292,Buffer overflow in web administration feature of Kolban Webcam32 4.8.3 and earlier allows remote attackers to execute arbitrary commands via a long URL.,HIGH
CVE-1999-0779,Denial of service in HP-UX SharedX recserv program.,MEDIUM
CVE-1999-0930,wwwboard allows a remote attacker to delete message board articles via a malformed argument.,MEDIUM
CVE-1999-0871,"Internet Explorer 4.0 and 4.01 allow a remote attacker to read files via IE's cross frame security, aka the ""Cross Frame Navigate"" vulnerability.",LOW
CVE-1999-1048,"Buffer overflow in bash 2.0.0, 1.4.17, and other versions allows local attackers to gain privileges by creating an extremely large directory name, which is inserted into the password prompt via the \w option in the PS1 environmental variable when another user changes into that directory.",MEDIUM
CVE-1999-0056,Buffer overflow in Sun's ping program can give root access to local users.,HIGH
CVE-1999-0897,iChat ROOMS Webserver allows remote attackers to read arbitrary files via a .. (dot dot) attack.,MEDIUM
CVE-1999-1020,"The installation of Novell Netware NDS 5.99 provides an unauthenticated client with Read access for the tree, which allows remote attackers to access sensitive information such as users, groups, and readable objects via CX.EXE and NLIST.EXE.",HIGH
CVE-1999-1265,"SMTP server in SLmail 3.1 and earlier allows remote attackers to cause a denial of service via malformed commands whose arguments begin with a ""("" (parenthesis) character, such as (1) SEND, (2) VRFY, (3) EXPN, (4) MAIL FROM, (5) RCPT TO.",MEDIUM
CVE-1999-1054,"The default configuration of FLEXlm license manager 6.0d, and possibly other versions, allows remote attackers to shut down the server via the lmdown command.",MEDIUM
CVE-1999-1228,"Various modems that do not implement a guard time, or are configured with a guard time of 0, can allow remote attackers to execute arbitrary modem commands such as ATH, ATH0, etc., via a ""+++"" sequence that appears in ICMP packets, the subject of an e-mail message, IRC commands, and others.",HIGH
CVE-1999-0969,"The Windows NT RPC service allows remote attackers to conduct a denial of service using spoofed malformed RPC packets which generate an error message that is sent to the spoofed host, potentially setting up a loop, aka Snork.",MEDIUM
CVE-1999-1181,Vulnerability in On-Line Customer Registration software for IRIX 6.2 through 6.4 allows local users to gain root privileges.,HIGH
CVE-1999-0186,"In Solaris, an SNMP subagent has a default community string that allows remote attackers to execute arbitrary commands as root, or modify system parameters.",HIGH
CVE-1999-0505,A Windows NT domain user or administrator account has a guessable password.,HIGH
CVE-1999-0506,"A Windows NT domain user or administrator account has a default, null, blank, or missing password.",HIGH
CVE-1999-0546,The Windows NT guest account is enabled.,MEDIUM
CVE-1999-0870,"Internet Explorer 4.01 allows remote attackers to read arbitrary files by pasting a file name into the file upload control, aka untrusted scripted paste.",LOW
CVE-1999-0343,A malicious Palace server can force a client to execute arbitrary programs.,MEDIUM
CVE-1999-1403,"IBM/Tivoli OPC Tracker Agent version 2 release 1 creates files, directories, and IPC message queues with insecure permissions (world-readable and world-writable), which could allow local users to disrupt operations and possibly gain privileges by modifying or deleting files.",HIGH
CVE-1999-1404,"IBM/Tivoli OPC Tracker Agent version 2 release 1 allows remote attackers to cause a denial of service (resource exhaustion) via malformed data to the localtracker client port (5011), which prevents the connection from being closed properly.",MEDIUM
CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target.",MEDIUM
CVE-1999-1185,Buffer overflow in SCO mscreen allows local users to gain root privileges via a long terminal entry (TERM) in the .mscreenrc file.,HIGH
CVE-1999-1381,Buffer overflow in dbadmin CGI program 1.0.1 on Linux allows remote attackers to execute arbitrary commands.,HIGH
CVE-1999-0002,"Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.",HIGH
CVE-1999-0053,TCP RST denial of service in FreeBSD.,MEDIUM
CVE-1999-0088,IRIX and AIX automountd services (autofsd) allow remote users to execute root commands.,HIGH
CVE-1999-0215,Routed allows attackers to append data to files.,MEDIUM
CVE-1999-0118,AIX infod allows local users to gain root access through an X display.,HIGH
CVE-1999-0254,A hidden SNMP community string in HP OpenView allows remote attackers to modify MIB tables and obtain sensitive information.,HIGH
CVE-1999-1459,BMC PATROL Agent before 3.2.07 allows local users to gain root privileges via a symlink attack on a temporary file.,HIGH
CVE-1999-0052,IP fragmentation denial of service in FreeBSD allows a remote attacker to cause a crash.,MEDIUM
CVE-1999-1284,"NukeNabber allows remote attackers to cause a denial of service by connecting to the NukeNabber port (1080) without sending any data, which causes the CPU usage to rise to 100% from the report.exe program that is executed upon the connection.",MEDIUM
CVE-1999-1321,Buffer overflow in ssh 1.2.26 client with Kerberos V enabled could allow remote attackers to cause a denial of service or execute arbitrary commands via a long DNS hostname that is not properly handled during TGT ticket passing.,HIGH
CVE-1999-1153,HAMcards Postcard CGI script 1.0 allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient email address.,HIGH
CVE-1999-1154,LakeWeb Filemail CGI script allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient email address.,HIGH
CVE-1999-1155,LakeWeb Mail List CGI script allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient email address.,HIGH
CVE-1999-1289,"ICQ 98 beta on Windows NT leaks the internal IP address of a client in the TCP data segment of an ICQ packet instead of the public address (e.g. through NAT), which provides remote attackers with potentially sensitive information about the client or the internal network configuration.",HIGH
CVE-1999-1025,"CDE screen lock program (screenlock) on Solaris 2.6 does not properly lock an unprivileged user's console session when the host is an NIS+ client, which allows others with physical access to login with any string.",MEDIUM
CVE-1999-1322,"The installation of 1ArcServe Backup and Inoculan AV client modules for Exchange create a log file, exchverify.log, which contains usernames and passwords in plaintext.",MEDIUM
CVE-1999-0057,Vacation program allows command execution by remote users through a sendmail command.,HIGH
CVE-1999-0780,KDE klock allows local users to kill arbitrary processes by specifying an arbitrary PID in the .kss.pid file.,MEDIUM
CVE-1999-0781,KDE allows local users to execute arbitrary commands by setting the KDEDIR environmental variable to modify the search path that KDE uses to locate its executables.,HIGH
CVE-1999-0782,KDE kppp allows local users to create a directory in an arbitrary location via the HOME environmental variable.,LOW
CVE-1999-1107,Buffer overflow in kppp in KDE allows local users to gain root access via a long PATH environmental variable.,HIGH
CVE-1999-1108,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1107.  Reason: This candidate is a duplicate of CVE-1999-1107.  Notes: All CVE users should reference CVE-1999-1107 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,N/A
